,dress_name,price,description,photo_urls
0,Sienna Shirt - Ivory Lace,£85,The Sienna is a timeless design made from deadstock lace that can be worn layered or pulled back with nothing underneath. It features french cuffs & vintage shell buttons.,"['//www.susamusa.com/cdn/shop/products/Sienna_White_5.jpg?v=1707217989&width=1946', '//www.susamusa.com/cdn/shop/products/Sienna_White_12.jpg?v=1707226398&width=1946', '//www.susamusa.com/cdn/shop/products/Sienna_White_4.jpg?v=1707226398&width=1946', '//www.susamusa.com/cdn/shop/products/Sienna_White_13.jpg?v=1707217998&width=1946', '//www.susamusa.com/cdn/shop/products/Sienna_White_1.jpg?v=1707217998&width=1946', '//www.susamusa.com/cdn/shop/products/Sienna_White_6.jpg?v=1707217998&width=1946', '//www.susamusa.com/cdn/shop/products/Sienna_White_8.jpg?v=1639053200&width=1946']"
1,Nova Top - Khaki and Lime,£45,"Our bestseller, the Nova top is a reversible two-toned tube top. It pairs back to our Nova Skirt but is a true crowdpleaser, made from a buttery soft fabric, it will hug you in all the right places.","['//www.susamusa.com/cdn/shop/files/Reshoot_Khaki_Nova_007_29b1d180-8a30-4065-994c-153ecc36f41e.jpg?v=1698335940&width=1946', '//www.susamusa.com/cdn/shop/files/Reshoot_Khaki_Nova_009.jpg?v=1698335940&width=1946', '//www.susamusa.com/cdn/shop/products/Nova_Green_2.jpg?v=1698335940&width=1946', '//www.susamusa.com/cdn/shop/products/Nova_Green_4.jpg?v=1698335940&width=1946', '//www.susamusa.com/cdn/shop/products/Nova_Green_13.jpg?v=1698335940&width=1946', '//www.susamusa.com/cdn/shop/products/Nova_Green_6.jpg?v=1698335940&width=1946']"
2,Nova Skirt - Khaki and Lime,£75,"The Nova Skirt is made from a buttery soft fabric that falls to your natural body outline. Featuring a slit along the side, the Nova Skirt is the perfect day to night maxi. Pair it with its matching Nova Top.","['//www.susamusa.com/cdn/shop/files/Reshoot_Khaki_Nova_002.jpg?v=1698334668&width=1946', '//www.susamusa.com/cdn/shop/files/Reshoot_Khaki_Nova_017.jpg?v=1698334668&width=1946', '//www.susamusa.com/cdn/shop/files/Reshoot_Khaki_Nova_003.jpg?v=1698334668&width=1946', '//www.susamusa.com/cdn/shop/files/Reshoot_Khaki_Nova_007.jpg?v=1698334668&width=1946', '//www.susamusa.com/cdn/shop/files/Nova_Khaki.png?v=1686843911&width=1946']"
3,Nova Top - Black and Stone,£45,"Our bestseller, the Nova top is a reversible two-toned tube top. It pairs back to our Nova Skirt but is a true crowdpleaser, made from a buttery soft fabric, it will hug you in all the right places.","['//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Nova_Set_BlackStone_052.jpg?v=1707217170&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Nova_Set_BlackStone_043_8c182e5d-3510-4c1f-813d-8ddf6b14fc21.jpg?v=1707223304&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Nova_Set_BlackStone_069.jpg?v=1707223304&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Nova_Set_BlackStone_022.jpg?v=1707223304&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Nova_Set_BlackStone_093.jpg?v=1707223304&width=1946', '//www.susamusa.com/cdn/shop/products/Nova_Black_3.jpg?v=1707223304&width=1946', '//www.susamusa.com/cdn/shop/products/Nova_Black_5.jpg?v=1707223304&width=1946', '//www.susamusa.com/cdn/shop/products/Nova_Black_8.jpg?v=1707223304&width=1946']"
4,Nova Skirt - Black and Stone,£75,"The Nova Skirt is made from a buttery soft fabric that falls to your natural body outline. Featuring a slit along the side, the Nova Skirt is the perfect day to night maxi. Pair it with its matching Nova Top.","['//www.susamusa.com/cdn/shop/files/Reshoot_Iris_Top_007_eb8524dc-5c25-4a80-ae86-5a5560189e1e.jpg?v=1698669507&width=1946', '//www.susamusa.com/cdn/shop/files/Reshoot_Iris_Top_022_1a39f4b1-6ba5-47ae-bf2d-252da1e10b4f.jpg?v=1698669507&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Nova_Set_BlackStone_022_dfc92997-e39f-4b8f-850d-94f0049f7bc1.jpg?v=1707222733&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Nova_Set_BlackStone_043.jpg?v=1707222733&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Nova_Set_BlackStone_093_733f160a-c46d-473f-bfd9-594658284a1d.jpg?v=1707217224&width=1946', '//www.susamusa.com/cdn/shop/products/Nova_Two_Piece_070.jpg?v=1707217220&width=1946']"
5,Gina Top - Khaki,£50,"The Gina is the transitional piece you need in your wardrobe. With a high neck & exposed back, it pairs nicely with a skirt or pants. ","['//www.susamusa.com/cdn/shop/products/Gina_Khaki_6_9a887256-931d-4011-a43f-675e4499027c.jpg?v=1645617658&width=1946', '//www.susamusa.com/cdn/shop/products/Gina_Khaki_1.jpg?v=1645617658&width=1946', '//www.susamusa.com/cdn/shop/products/Gina_Khaki_7.jpg?v=1645617658&width=1946', '//www.susamusa.com/cdn/shop/products/Gina_Khaki_2.jpg?v=1645617658&width=1946', '//www.susamusa.com/cdn/shop/products/Gina_Khaki_3.jpg?v=1645617658&width=1946', '//www.susamusa.com/cdn/shop/products/Gina_Khaki_9_445c3417-fc9a-4895-b9b9-2dc130100303.jpg?v=1645617658&width=1946', '//www.susamusa.com/cdn/shop/files/Khaki_Backless_Top_Front_1.jpg?v=1692957743&width=1946', '//www.susamusa.com/cdn/shop/files/Khaki_Backless_Top_Back_1.jpg?v=1692957745&width=1946']"
6,Nova Top - Black and Ruby,£45,"Our bestseller, the Nova top is a reversible two-toned tube top. It pairs back to our Nova Skirt but is a true crowdpleaser, made from a buttery soft fabric, it will hug you in all the right places.","['//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Nova_Set_BlackRuby_098.jpg?v=1707216896&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Nova_Set_BlackRuby_233.jpg?v=1707216818&width=1946', '//www.susamusa.com/cdn/shop/products/220910_Susamusa_Nova_Set_Red_166.jpg?v=1707216818&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Nova_Set_BlackRuby_191.jpg?v=1707223093&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Nova_Set_BlackRuby_151.jpg?v=1707223093&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Nova_Set_BlackRuby_133_73696b8a-6ae3-48c6-bec6-098b2218e0d0.jpg?v=1707223093&width=1946']"
7,Gina Top - Baby Blue,£50,"The Gina is the transitional piece you need in your wardrobe. With a high neck & exposed back, it pairs nicely with a skirt or pants. ","['//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Blue_Gina_003.png?v=1707212822&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Blue_Gina_035.png?v=1707212822&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Blue_Gina_006.png?v=1707212822&width=1946', '//www.susamusa.com/cdn/shop/products/Gina_Blue_2.jpg?v=1707212822&width=1946', '//www.susamusa.com/cdn/shop/products/Gina_Blue_6.jpg?v=1707212822&width=1946', '//www.susamusa.com/cdn/shop/files/GM_Gina_khaki_front_de0cba7f-50d3-4e54-ac51-08e413575c5e.png?v=1709039067&width=1946', '//www.susamusa.com/cdn/shop/files/GM_Gina_khaki_back_d391d1e7-b781-4f6c-9213-ceae6f1f86bb.png?v=1709039063&width=1946']"
8,Nova Skirt - Black and Ruby,£75,"The Nova Skirt is made from a buttery soft fabric that falls to your natural body outline. Featuring a slit along the side, the Nova Skirt is the perfect day to night maxi. Pair it with its matching Nova Top.","['//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Nova_Set_BlackRuby_142.jpg?v=1707222442&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Nova_Set_BlackRuby_211.jpg?v=1707222469&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Nova_Set_BlackRuby_103.jpg?v=1707222467&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Nova_Set_BlackRuby_133.jpg?v=1707222617&width=1946', '//www.susamusa.com/cdn/shop/files/Khaki_Red.png?v=1686844081&width=1946']"
9,Gina Top - Red,£50,"The Gina is the transitional piece you need in your wardrobe. With a high neck & exposed back, it pairs nicely with a skirt or pants. ","['//www.susamusa.com/cdn/shop/products/Gina_Red_11_fbbd175a-e563-4f97-a882-6c67c24e57b7.jpg?v=1707218057&width=1946', '//www.susamusa.com/cdn/shop/products/Gina_Red_2_83ec5099-55ce-45cf-9247-e1354eca779d.jpg?v=1707218057&width=1946', '//www.susamusa.com/cdn/shop/products/Gina_Red_1_dc838cfa-971b-4819-a15b-32721052cb76.jpg?v=1707218057&width=1946', '//www.susamusa.com/cdn/shop/products/Gina_Red_3_790831ba-18ac-4ede-96d8-33636adf213d.jpg?v=1707218056&width=1946', '//www.susamusa.com/cdn/shop/products/Gina_Red_9_1c8422f4-564a-4553-9556-dbd01af5af62.jpg?v=1707218056&width=1946', '//www.susamusa.com/cdn/shop/products/Gina_Red_10_7bfb5a33-02e7-45c6-ac96-77dbccf6e759.jpg?v=1707218056&width=1946', '//www.susamusa.com/cdn/shop/files/GM_Gina_khaki_front.png?v=1709038689&width=1946', '//www.susamusa.com/cdn/shop/files/GM_Gina_khaki_back.png?v=1709038685&width=1946']"
